course_id,assignment_id,score_pct,student_id
345,751,5.9,S001
345,751,0.0,S003
345,751,5.9,S005
345,751,0.0,S006
345,751,0.0,S008
345,751,5.9,S009
345,751,5.9,S010
345,751,11.8,S012
345,751,0.0,S013
345,751,0.0,S014
345,751,5.9,S015
345,751,5.9,S016
345,751,5.9,S019
345,751,5.9,S021
345,751,0.0,S022
345,751,0.0,S024
345,751,0.0,S025
345,751,0.0,S026
345,751,0.0,S027
345,751,0.0,S028
345,751,0.0,S031
345,751,5.9,S033
345,751,0.0,S034
345,751,0.0,S035
345,751,0.0,S036
345,751,0.0,S037
345,751,5.9,S040
345,751,0.0,S041
345,751,0.0,S044
345,751,5.9,S045
345,751,0.0,S049
345,751,5.9,S050
345,751,0.0,S051
345,751,5.9,S054
345,751,5.9,S054
345,751,5.9,S055
345,751,0.0,S058
345,751,5.9,S060
345,751,5.9,S062
345,751,5.9,S064
345,751,5.9,S065
345,751,0.0,S067
345,751,0.0,S068
345,751,0.0,S070
345,751,0.0,S072
345,751,11.8,S073
345,751,5.9,S074
345,751,5.9,S076
345,751,0.0,S078
345,751,0.0,S080
345,751,0.0,S081
345,751,0.0,S082
345,751,0.0,S083
345,751,0.0,S085
345,751,0.0,S089
345,751,0.0,S092
345,751,0.0,S097
345,751,0.0,S099
345,751,0.0,S100
345,751,0.0,S101
345,751,0.0,S102
345,751,0.0,S103
345,751,5.9,S104
345,751,5.9,S108
345,751,0.0,S109
345,751,5.9,S110
345,751,11.8,S112
345,751,5.9,S115
345,751,5.9,S118
345,751,0.0,S121
345,751,0.0,S123
345,751,5.9,S124
345,751,5.9,S124
345,751,0.0,S127
345,751,5.9,S128
345,751,0.0,S129
345,751,11.8,S132
345,751,11.8,S132
345,751,0.0,S136
345,751,0.0,S137
345,751,0.0,S139
345,751,5.9,S142
345,751,5.9,S143
345,751,5.9,S144
345,751,0.0,S148
345,751,0.0,S149
345,751,0.0,S150
345,751,5.9,S152
345,751,0.0,S153
345,751,0.0,S156
345,751,0.0,S158
345,751,0.0,S159
345,751,5.9,S160
345,751,0.0,S163
345,751,0.0,S165
345,751,0.0,S166
345,751,0.0,S170
345,751,5.9,S171
345,751,0.0,S172
345,751,5.9,S174
345,751,0.0,S175
345,751,5.9,S177
345,751,0.0,S179
345,751,5.9,S180
345,751,0.0,S181
345,751,5.9,S182
345,753,,S001
345,753,,S003
345,753,,S006
345,753,,S008
345,753,,S009
345,753,,S010
345,753,,S012
345,753,,S013
345,753,,S014
345,753,,S019
345,753,,S021
345,753,,S022
345,753,,S024
345,753,,S025
345,753,,S026
345,753,,S027
345,753,,S028
345,753,,S031
345,753,,S033
345,753,,S034
345,753,,S035
345,753,,S036
345,753,,S037
345,753,,S040
345,753,,S041
345,753,,S044
345,753,,S045
345,753,,S049
345,753,,S050
345,753,,S051
345,753,,S054
345,753,,S055
345,753,,S057
345,753,,S058
345,753,,S060
345,753,,S062
345,753,,S064
345,753,,S065
345,753,,S067
345,753,,S068
345,753,,S070
345,753,,S072
345,753,,S073
345,753,,S074
345,753,,S076
345,753,,S078
345,753,,S079
345,753,,S080
345,753,,S081
345,753,,S082
345,753,,S083
345,753,,S085
345,753,,S088
345,753,,S089
345,753,,S092
345,753,,S096
345,753,,S097
345,753,,S099
345,753,,S101
345,753,,S102
345,753,,S103
345,753,,S104
345,753,,S108
345,753,,S109
345,753,,S110
345,753,,S112
345,753,,S115
345,753,,S118
345,753,,S121
345,753,,S123
345,753,,S124
345,753,,S127
345,753,,S128
345,753,,S129
345,753,,S132
345,753,,S136
345,753,,S137
345,753,,S139
345,753,,S142
345,753,,S143
345,753,,S144
345,753,,S148
